,lower-words,in%texts
399,laissé,100.0
400,lampes,100.0
401,laquelle,100.0
402,large,100.0
403,larmes,100.0
404,laver,100.0
405,le,100.0
406,lendemain,100.0
407,lentement,100.0
408,lequel,100.0
409,les,100.0
410,leur,100.0
411,leurs,100.0
412,lever,100.0
413,levé,100.0
414,libre,100.0
415,lieu,100.0
416,lignes,100.0
417,lire,100.0
418,lit,100.0
419,livres,100.0
420,loin,100.0
421,long,100.0
422,longtemps,100.0
423,longue,100.0
424,lors,100.0
425,lorsqu,100.0
426,lourd,100.0
427,lourds,100.0
428,lui,100.0
429,lumière,100.0
430,là,100.0
431,lèvres,100.0
432,léger,100.0
433,m,100.0
434,ma,100.0
435,machinalement,100.0
436,maigre,100.0
437,main,100.0
438,mains,100.0
439,maintenant,100.0
440,mais,100.0
441,maison,100.0
442,maisons,100.0
443,mal,100.0
444,malade,100.0
445,malgré,100.0
446,malheur,100.0
447,manger,100.0
448,marche,100.0
449,marcher,100.0
450,marches,100.0
451,mariage,100.0
452,matin,100.0
453,mauvais,100.0
454,mauvaises,100.0
455,me,100.0
456,menton,100.0
457,merci,100.0
458,mes,100.0
459,met,100.0
460,mettait,100.0
461,mettre,100.0
462,mi,100.0
463,midi,100.0
464,mieux,100.0
465,milieu,100.0
466,mille,100.0
467,mince,100.0
468,minuit,100.0
469,minutes,100.0
470,mis,100.0
471,mise,100.0
472,moi,100.0
473,moindre,100.0
474,moins,100.0
475,mois,100.0
476,moitié,100.0
477,moment,100.0
478,mon,100.0
479,monde,100.0
480,montre,100.0
481,mort,100.0
482,mot,100.0
483,mots,100.0
484,moyenne,100.0
485,mur,100.0
486,murs,100.0
487,mère,100.0
488,mètres,100.0
489,même,100.0
490,mêmes,100.0
491,n,100.0
492,naturellement,100.0
493,ne,100.0
494,neuf,100.0
495,ni,100.0
496,noir,100.0
497,noire,100.0
498,nom,100.0
499,noms,100.0
500,non,100.0
501,nos,100.0
502,nous,100.0
503,nouveau,100.0
504,nouvelle,100.0
505,nouvelles,100.0
506,nuit,100.0
507,occasion,100.0
508,occupe,100.0
509,ombre,100.0
510,on,100.0
511,ont,100.0
512,onze,100.0
513,or,100.0
514,ordre,100.0
515,ou,100.0
516,oui,100.0
517,ouvert,100.0
518,ouvrir,100.0
519,où,100.0
520,palais,100.0
521,papier,100.0
522,par,100.0
523,paraît,100.0
524,parce,100.0
525,pardon,100.0
526,parfois,100.0
527,parlait,100.0
528,parle,100.0
529,parler,100.0
530,parlé,100.0
531,parmi,100.0
532,parole,100.0
533,part,100.0
534,parti,100.0
535,particulier,100.0
536,partie,100.0
537,partir,100.0
538,partout,100.0
539,pas,100.0
540,passage,100.0
541,passant,100.0
542,passe,100.0
543,passent,100.0
544,passer,100.0
545,passé,100.0
546,payer,100.0
547,pays,100.0
548,paysage,100.0
549,peau,100.0
550,peine,100.0
551,pendant,100.0
552,pense,100.0
553,pensé,100.0
554,pensée,100.0
555,perdre,100.0
556,perdu,100.0
557,personne,100.0
558,personnes,100.0
559,petit,100.0
560,petite,100.0
561,petites,100.0
562,petits,100.0
563,peu,100.0
564,peur,100.0
565,peut,100.0
566,peut_être,100.0
567,peux,100.0
568,pied,100.0
569,pieds,100.0
570,pis,100.0
571,piste,100.0
572,pièces,100.0
573,place,100.0
574,plaisir,100.0
575,plan,100.0
576,plaît,100.0
577,plein,100.0
578,pleine,100.0
579,pleins,100.0
580,pluie,100.0
581,plupart,100.0
582,plus,100.0
583,plusieurs,100.0
584,plutôt,100.0
585,poche,100.0
586,poches,100.0
587,poids,100.0
588,poings,100.0
589,point,100.0
590,poitrine,100.0
591,police,100.0
592,portait,100.0
593,portant,100.0
594,porte,100.0
595,porter,100.0
596,portes,100.0
597,porté,100.0
598,possible,100.0
599,pour,100.0
600,pourquoi,100.0
601,pourrait,100.0
602,pourtant,100.0
603,poussé,100.0
604,pouvez,100.0
605,premier,100.0
606,premiers,100.0
607,première,100.0
608,prend,100.0
609,prendre,100.0
610,presque,100.0
611,preuve,100.0
612,pris,100.0
613,prison,100.0
614,proche,100.0
615,propre,100.0
616,près,100.0
617,préfère,100.0
618,préféré,100.0
619,préparait,100.0
620,préparer,100.0
621,présence,100.0
622,prêt,100.0
