idno,author-name,author-gender,book-title,pub-year
rv0406,Loti,male,PrimeJeunesse,1919
rv1209,Dard,male,MarchaitTombe,1963
rv0661,Ryck,male,ConseilFamille,1983
rv0686,Bourget,male,DanseurMondain,1926
rv0710,Colette,female,MaisonClaudine,1922
rv0199,RobbeGrillet,male,Voyeur,1953
rv1193,Dard,male,PlombTripes,1953
rv0763,MduGard,male,Thibault2,1922
rv1275,Khadra,male,JourNuit,2008
rv1281,RobbeGrillet,male,Gommes,1953
rv1277,Magnan,male,Commissaire,1978
rv1122,Leroux,male,RoiMystere,1909
rv1036,Japrisot,male,CompartimentTueurs,1962
rv0230,Modiano,male,DoraBruder,1997
rv0017,Simenon,male,FuiteMonde,1945
rv0396,LeRouge,male,MysterieuxDrCornelius1,1913
rv0399,LeRouge,male,Conspiration1,1900
rv1064,Malet,male,FievreMarais,1955
rv1060,Malet,male,BurmaCourtPoupee,1971
rv0809,Pelot,male,ChantHommeMort,2014
rv1181,Pouy,male,SpinozaHegel,1983
rv1271,Izzo,male,Kheops,1995
rv0516,Toussaint,male,VeriteMarie,2009
rv0709,Colette,female,JulieDeCarneilhan,1941
rv1044,Leblanc,male,HuitCentTreize,1910
rv0689,Khadra,male,Morituri,1997
rv0509,Khadra,male,SirenesBagdad,2006
rv0192,Simon,male,RouteFlandres,1960
rv0197,RobbeGrillet,male,Reprise,2001
rv0165,Proust,male,TempsRetrouveR7b,1927
rv1148,Leblanc,male,MinuitSeptHeures,1931
rv1278,Magnan,male,Laure,2006
rv0802,Nothomb,female,HygieneAssassin,1992
rv1108,Dard,male,FaisMoi,1978
rv1279,Magnan,male,Chronique,2008
rv0220,Duras,female,VieTranquille,1944
rv1207,Dard,male,SalePeau,1958
rv0549,Queneau,male,FleursBleues,1965
rv0488,Giono,male,RoiSansDivertissement,1947
rv0685,Bourget,male,LaurenceAlbani,1919
rv0151,Ravey,male,EnlevementRancon,2010
rv1180,Pouy,male,TrainPerdu,2003
rv1186,Vargas,female,HommeCerclesBleus,1996
rv1072,Manchette,male,DingosChateaux,1972
rv0542,Vian,male,AutomnePekin,1947
rv0706,Colette,female,Duo,1934
rv1012,Daeninckx,male,Itineraire,2006
rv1268,BoilNarc,male,Victimes,1964
rv1183,Pouy,male,Larchmutz,1999
rv0524,Manotti,male,BienConnuServices,2010
rv1128,Leroux,male,FauteuilHanté,1909
rv1204,Dard,male,BourreauPleure,1956
rv0490,Giono,male,ChantMonde,1934
rv1080,Pouy,male,ChasseTatou,1993
rv0694,Perec,male,CabinetAmateur,1979
rv1055,Leroux,male,Poupee,1923
rv0531,Bon,male,SortieUsine,1982
rv1120,Leroux,male,DoubleVie,1903
rv1245,Daeninckx,male,GeantInacheve,1984
rv1191,Dard,male,SanAntonioRenvoie,1960
rv0805,Pelot,male,PlombNeige,1974
rv0163,Proust,male,AlbertineR6,1925
rv0688,Bourget,male,DeuxSoeurs,1905
rv0520,Khadra,male,RêventLoups,1999
rv1189,Dard,male,AngesPlumer,1957
rv0326,Delly,mixed,EntreDeuxAmes,1913
rv1226,Malet,male,Nuit,1955
rv0679,Amila,male,BoucherHurlus,1982
rv0037,Simenon,male,AmieMmeMaigret,1950
rv0702,Colette,female,ClaudineEcole,1900
rv1134,Malet,male,RatsMontsouris,1955
rv0704,Colette,female,ClaudineParis,1901
rv0193,RobbeGrillet,male,n.av.,1981
rv0401,LeRougeGuitton,male,PrincesseAirs1,1902
rv0701,Colette,female,BleHerbe,1923
rv0546,Queneau,male,Chiendent,1933
rv1201,Dard,male,Delivrez,1956
rv0692,Butor,male,EmploiTemps,1956
rv0081,Simenon,male,CageVerre,1971
rv0539,VianSullivan,male,OnTueraAffreux,1948
rv0515,Toussaint,male,FaireAmour,2002
rv1195,Dard,male,GalaEmplumes,1963
rv1058,Malet,male,BurmaBercail,1967
rv0152,Ravey,male,FilleMeilleurAmi,2014
rv0120,Echenoz,male,Courir,2008
rv1099,Vargas,female,ParsVite,2001
rv0057,Simenon,male,Complices,1956
rv1131,Malet,male,VieDegueulasse,1948
rv1124,Leroux,male,RouletabilleTsar,1913
rv1101,Dard,male,LaissezTomber,1950
rv1069,Manchette,male,Iris,1997
rv1102,Dard,male,SiropGuepes,1960
rv0214,Duras,female,ModeratoCantabile,1958
rv0777,Rolland,male,JeanChristophe07,1908
rv1065,Malet,male,BurmaDansIle,1970
rv0579,SouvAllain,male,MariageFantomas,1912
rv0676,Pennac,male,Malaussene1BonheurOgres,1985
rv1057,Malet,male,Abattoir,1972
rv1082,Pouy,male,Nus,2007
rv1280,Magnan,male,SangAtrides,1977
rv1202,Dard,male,Initiation,1971
rv0554,Camus,male,Peste,1947
rv0712,Colette,female,RetraiteSentimentale,1907
rv0668,Ryck,male,VoulezVousMourir,1973
rv1266,BoilNarc,male,Malefices,1961
rv0573,Roussel,male,ImpressionsAfrique,1910
rv1146,Leblanc,male,DemeureMysterieuse,1929
rv1220,Malet,male,Johnny,1941
rv0512,Khadra,male,AttendentSinges,2014
rv0392,LeRouge,male,EsclaveAmoureuse,1904
rv1138,Malet,male,MicmacMoche,1957
rv0534,Pecherot,male,BrouillardsButte,2001
rv0687,Bourget,male,Laborantine,1934
rv0581,SouvAllain,male,SouliersMort,1912
rv1145,Leblanc,male,DemoiselleYeuxVerts,1927
rv0789,Verne,male,ChasseMeteoreV1,1901
rv1048,Leroux,male,CapitaineHyx,1917
rv0240,Modiano,male,VillaTriste,1975
rv1068,Manchette,male,Fatale,1977
rv1274,Khadra,male,Hirondelles,2002
rv0436,Renard,male,MaitreLumiere,1933
rv0185,Simon,male,Tryptique,1973
rv1242,Daeninckx,male,CrimeSainte,2012
rv0053,Simenon,male,RapportGendarme,1944
rv1093,Vargas,female,ArmeeFurieuse,1996
rv1254,BoilNarc,male,Magiciennes,1957
rv0156,Proust,male,GuermantesR3a,1920
rv1263,BoilNarc,male,SermentLupin,1987
rv1052,Leroux,male,RouletabilleKrupp,1917
rv0798,Nothomb,female,Catilinaires,1995
rv1073,Manchette,male,PetitBleu,1976
rv0073,Simenon,male,CecileMorte,1942
rv0663,Ryck,male,AutobiographieTueur,1987
